yrke_raa,antall_personer,normalisert,kategori,kilde,notat
fv. Snedker Understøttes af datter,1,Forsørges av familie/privat,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
fv. Syerske. Legater %Intet Erhverv%,1,Understøttes av legat,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
fv. Telefonistinde. Intet erhverv. Pension og legater,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
fv. underofficer Pentionist af militæretaten,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Gårdeier,1,Huseier/gårdeier,Forsørget,regel,"fallback-regel, sjekket manuelt"
gaardeier,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Gaardeier %Ingen%,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Gaardeier, egne Midler fv. Barber & Frisør",1,Huseier/gårdeier,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
gaardeier. ingen,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Gaardeierinde,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Gårdeierske Lever af sine midler,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Gaardeierske, Formue",1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Gaardeieske,1,Huseier/gårdeier,Forsørget,regel,"fallback-regel, sjekket manuelt"
Gaareier,1,Huseier/gårdeier,Forsørget,regel,"fallback-regel, sjekket manuelt"
Har før været i Butik i Xania. Ingen erhverv er nu ledig,1,Forsørget,Forsørget,regel,
Har livrente,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Har offentl Understøttelse,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Har Understøttelse af Berg Fattigkasse og kan til enkelte Tider væve Gulvtæpper, naar Helbreden tillader det",1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Havearbeide - off. Understøt.,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hjelp af fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
hjælp af fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hm understøttet af børnene,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hosmor lit fattighjelp understøttes af søn,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hus og haandgjerning samt fattigunder,1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"fallback-regel, sjekket manuelt"
Huseier ikke andet,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Huseier og Forhenværende garver,1,Huseier/gårdeier,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Huseier Rentist,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Huseier, Rentenist",1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Huseierinde,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Husejer og fhv. Lensmand,1,Huseier/gårdeier,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Husejerninde,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Husejerske,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Husleieindtægt,1,Huseier/gårdeier,Forsørget,regel,"fallback-regel, sjekket manuelt"
Husleieindtægt & renter,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hører til Fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Hører til fattigvæsenet Ingen erhverv,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Haandgjerning og fattigunderst,1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Haandgjerning og fattigunderst. af fattigv.,1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
I?? Livrente,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Id fattigvæsen. Desuden af logerende,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ingen Erhverv Understøttes af Slektninge??,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ingen Erhverv. Har et legat og ernæret af sine slegtninge,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
ingen Har lidt Midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Ingen, er sygelig og sengeliggende Familien underholder hende",1,Forsørges av familie/privat,Forsørget,manuell,"underholdes av familien, men sykdom/institusjon nevnt"
Ingen. Offentlig understøttet,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ingen. Privat forsørget af Sønnen,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Intet Erhverv forsg. af Fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet Erhverv Gaardeier,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet Erhverv nyder Understøtelse,1,Understøttes av fattigvesen,Forsørget,regel,"fallback-regel, sjekket manuelt"
Intet Erhverv nyder Understøtelse af Fatigkassen og privat Godgjørenhed,1,Understøttes av fattigvesen,Forsørget,regel,"fallback-regel, sjekket manuelt"
"Intet Erhverv nyder Understøtelse, dels af Slægtninger og private og dels af Fattigvæsenet",1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet Erhverv opholdes,1,Forsørget,Forsørget,regel,"fallback-regel, sjekket manuelt"
Intet Erhverv Underhold af Børnene,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
"Intet Erhverv v/ Arbeide, var Brøddrager for 2 aar siden og opholdes nu v/ Indtægt af 2 Gaarde & v/ Hjælp af Børnene",1,Huseier/gårdeier,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
"Intet Erhverv, sygelig indflyttet fra Landet og lever paa opsparede Midler",1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet erhverv. Fattigvæsen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet erhverv. Privat understøttelse,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet Erhværv. lever af sine midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
intet Erverv på Grund af Sygdom. Lever af sine midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Intet Sygelig. Har været Kontorist,1,Lever av egne midler,Forsørget,manuell,offentlig støtte
intet underholdes af Konen,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Kapital,1,Lever av egne midler,Forsørget,regel,"fallback-regel, sjekket manuelt"
Legat Kroner 80,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Legataerske,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Legatunderstøttelse,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af egen formue,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af egene Midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af egne Midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af Formue,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af Gaarden og beskjæftiger sig tildels med Vask,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af huslei integt,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af husleieindtægt,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af Legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af logerende,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af pension,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sin Formue,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sine Midler - Huseierske,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sine Midler %Pengtionnist%,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af sine Midler Pension og Livrente,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sine midler. Fhv. fuldmægtig ved trælastkontor. Gaardeier,1,Lever av sine midler,Forsørget,regel,
Lever af sine midler. Husgjerning,1,Lever av sine midler,Forsørget,regel,
Lever af sine Midler. Hustømmermand forhenværende,1,Lever av sine midler,Forsørget,regel,maler = bygningsmaler
Lever ved Børnenes Arbeide,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Lever ved egne midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Levrandørs Enke Lever af sine Midler: Ved Kaabeforretning,1,Lever av egne midler,Forsørget,regel,
lidt formue,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lidt kapital,1,Lever av egne midler,Forsørget,regel,"fallback-regel, sjekket manuelt"
Lidt Kapital. Underholdes af Sønene fhv. bagermester,1,Forsørges av familie/privat,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Lidt understøttelse ved legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lifsforsikrings understøttelse,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Livrente Eier af gaarden,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Livrente og Legater,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Nyder Fattigunderstøttelse,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Nyder Fattigunderstøttelse og forøvrigt nogen Støtte af sin Datter No. 1,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
nyder offtl Understøtelse,1,Offentlig understøttet,Forsørget,regel,"fallback-regel, sjekket manuelt"
Nyder Understøtelse af Fattigkassen & i Byen boende Børn,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Næring af Midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Næring af Midler Gaardejer,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Næring af Midler og Legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ofentli understøttelse,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
ofentlig Understøttelse,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ofentlig understøttelse %ingen%,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Off pension v eg midler,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
off. Underst.,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
off. underst.,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Off. underst. Husgj.,1,Offentlig understøttet,Forsørget,regel,
Off. understøttelse af fattigkassen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
offentl Understøttelse,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Offentlig understøtet af fattigkassen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Offentlig understøttelse. Enke,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
offentlig understøttet,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ophold af Haldens ølbryggeri,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Ophold hos Søn,1,Forsørges av familie/privat,Forsørget,regel,forsørget av familien
Opholdes ved datteren no 2,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Opholds af sin Søn Pangtrin af Statden Kr 100 Aaret %intet%,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Pengtionist,1,Pensjonist,Forsørget,regel,"fallback-regel, sjekket manuelt"
Pension,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pension af jernbanestyre,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pension fr. Sverige,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pension og Legater,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pension som fv. Foged,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pensioneret Bestillingsmand,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pensioneret Fhv Taxtkone ved pantelaaneudretning,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pensioneret fhv. Artillerioverkonstabel,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pensionist fhv. Klokker,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pensionist fra jernbanen,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pensionist Major fhv. Brigadelæge,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Pensionnert af Kommunen,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pensjonist,1,Pensjonist,Forsørget,regel,"fallback-regel, sjekket manuelt"
Pentioneret Lærerinde,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Priv. Pension & legater,1,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Privat underst. og ophold ved 2,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Privat Understøttelse,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
privat understøttelse,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
privat understøttet Understøttet af børnene,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Privatunderstøttelse,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
paa Fattigkassen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentenist lever af sine Midler,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Rentenist, samt understøttet af lægat",1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentenist; desuden arbeiderske intet bestemt,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
rentier,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentist,1,Lever av egne midler,Forsørget,regel,"fallback-regel, sjekket manuelt"
Rentist og legater,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Ribber fjer fattigunderst,1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Sengeliggenes syg forsørges af fatigvæsenet,1,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
sit Livsophold af søn,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Skogeier og Gaardeier,1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Skredder fattigstøtte,1,Understøttes av fattigvesen,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Stiftelseslem Legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
syg udygtig til al Gjerning og understøttes af Familien,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Syg. Nyder Fattigunderstøttelse fra Kristiania Kommune,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
tidligere Handlende i Chr.a. lever nu i Svogerens Hus. intet,1,Forsørges av familie/privat,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
til forsørgelse af Knudsen,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Trætøffelmager Fattigunderstøttet,1,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"uden Erverv, Huseier",1,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Udsat af Fattigvesenet,1,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
udsat af fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underhold af Sønnen,1,Forsørges av familie/privat,Forsørget,regel,"fallback-regel, sjekket manuelt"
Underholdes af Broderen,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af børnene Hjælper datteren med strygeforretn.,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af datter,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af de foranstaaende,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
underholdes af Forældrene uden Erverv,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af mand og børn,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Underholdes af Nevøen, Niecen",1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af No 2,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af sine Børn,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af Søn,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af sønnen,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underholdes af Sønnen arbeidsudygtig,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Underst. af Fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøt af Komunen,1,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
Understøt Fattigv.,1,Understøttes av fattigvesen,Forsørget,regel,"fallback-regel, sjekket manuelt"
Understøtels af kommunen,1,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
Understøtelse af kommunen,1,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
understøtelse av Fattivæsenet,1,Understøttes av fattigvesen,Forsørget,regel,"fallback-regel, sjekket manuelt"
"understøtelse, kommune",1,Offentlig understøttet,Forsørget,manuell,offentlig støtte
Understøtes af Skræddermester,1,Forsørges av familie/privat,Forsørget,manuell,
Understøtet fra Ødemark Fattigvæsen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøtt. Kommune og Legat,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
understøttelse af byen,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttelse af Børnene,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttelse af fattigkassen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttelse af militæretaten,1,Pensjonist,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Understøttes af byen,1,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
understøttes af byen,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttes af byen Tjenestepige,1,Understøttes av fattigvesen,Forsørget,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Understøttes af børn fv. Skrædder,1,Forsørges av familie,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Understøttes af børnene,1,Forsørges av familie,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
understøttes af Forældrene,1,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
understøttes av byen,1,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttet af Legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Unnerstøtels af Legat,1,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
væsentlig af Formue,1,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Arkitekt, Skibsreder",1,Arkitekt og skipsreder,Frie yrker,manuell,
Assistent hos Stadsingeniøren,1,Ingeniørassistent,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
"Cand. Jur Fhv. Overretssagfører, nu Afskriver mv",1,Arkivar/Avskriver,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Forretningsfører for br.samlaget og livsasouranceagent,1,Forretningsfører og forsikringsagent,Frie yrker,regel,
Forstander for Baptistmenigheden,1,Pastor/menighetsforstander,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Galanterihandler Tilsynsmd. for Rigsforsikringen Bestyrer af Sparebanken Pantelaanekontor,1,Bankbestyrer,Frie yrker,manuell,butikkfunksjon/salg
"Grosserer, bankbestyrer",1,Bankbestyrer,Frie yrker,manuell,butikkfunksjon/salg
"Lægpredikant, gaardeier",1,Lekpredikant,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Menighedsforstander,1,Pastor/menighetsforstander,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Missionær for Syvendedagsadventisternes trossamfund i Norge,1,Misjonær,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Musiker,1,Musiker,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Musiker ): Organist og Dir. for Militærmusikken samt Sanglærer,1,Musiker,Frie yrker,regel,
ORSagfører. Journalist,1,Advokat og journalist,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Overretssagfører,1,Advokat,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Overretssagfører og Redaktør,1,Advokat og redaktør,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
"Overretssagfører, bankchef",1,Advokat og banksjef,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Pastor i Methodistkirken,1,Pastor/menighetsforstander,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Redaktør,1,Redaktør,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Reiser med en fonograf,1,Reiser med en fonograf,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Residerende Kapellan,1,Kapellan,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Skuespiller,1,Skuespiller,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Sogneprest Konstitueret. Den Kat. missions omkostninger,1,Sogneprest,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
%Expeditrise%,1,Butikkdame/expiditrise,Handel,regel,"fallback-regel, sjekket manuelt"
